code,label,label_en,parent_code,valid_from,valid_to
1A00,Kolera,Cholera,,,
1A01,Tarminfektion orsakad av andra Vibrio-bakterier,Intestinal infection due to other Vibrio,,,
1A02,Tarminfektioner orsakade av Shigella,Intestinal infections due to Shigella,,,
1A03,Tarminfektioner orsakade av Escherichia coli,Intestinal infections due to Escherichia coli,,,
1A03.0,Enteropatogen Escherichia coli-infektion (EPEC),Enteropathogenic Escherichia coli infection,,,
1A03.1,Enterotoxinbildande Escherichia coli-infektion (ETEC),Enterotoxigenic Escherichia coli infection,,,
1A03.2,Enteroinvasiv Escherichia coli-infektion (EIEC),Enteroinvasive Escherichia coli infection,,,
1A03.3,Enterohemorragisk Escherichia coli-infektion (EHEC),Enterohaemorrhagic Escherichia coli infection,,,
1A03.Y,Andra specificerade tarminfektioner orsakade av Escherichia coli,Intestinal infections due to other specified Escherichia coli,,,
1A03.Z,"Tarminfektioner orsakade av Escherichia coli, ospecificerade","Intestinal infections due to Escherichia coli, unspecified",,,
1A04,Tarminfektioner orsakade av Clostridioides difficile,Intestinal infections due to Clostridioides difficile,,,
1A05,Tarminfektioner orsakade av Yersinia enterocolitica,Intestinal infections due to Yersinia enterocolitica,,,
1A06,Gastroenterit orsakad av Campylobacter,Gastroenteritis due to Campylobacter,,,
1A07,Tyfoidfeber,Typhoid fever,,,
1A07.0,Tyfoidfeber med peritonit,Typhoid peritonitis,,,
1A07.Y,Annan specificerad tyfoidfeber,Other specified typhoid fever,,,
1A07.Z,"Tyfoidfeber, ospecificerad","Typhoid fever, unspecified",,,
1A08,Paratyfoidfeber,Paratyphoid fever,,,
1A09,Infektioner orsakade av andra bakterier i släktet Salmonella,Infections due to other Salmonella,,,
1A09.0,Salmonellaenterit,Salmonella enteritis,,,
1A09.Y,Andra specificerade infektioner orsakade av andra bakterier i släktet Salmonella,Infections due to other Salmonella in other organs,,,
1A09.Z,"Infektioner orsakade av andra bakterier i släktet Salmonella, ospecificerade","Salmonella infection, unspecified",,,
1A0Y,Andra specificerade bakteriella tarminfektioner,Other specified bacterial intestinal infections,,,
1A0Z,"Bakteriella tarminfektioner, ospecificerade","Bacterial intestinal infections, unspecified",,,
1A10,Livsmedelsburen stafylokockförgiftning,Foodborne staphylococcal intoxication,,,
1A11,Botulism,Botulism,,,
1A11.0,Livsmedelsburen botulinumtoxin-förgiftning,Foodborne intoxication by botulinum toxin,,,
1A11.1,Andra former av botulism,Other forms of botulism,,,
1A11.Z,"Botulism, ospecificerad","Botulism, unspecified",,,
1A12,Matförgiftning orsakad av Clostridium perfringens,Foodborne Clostridium perfringens intoxication,,,
1A13,Livsmedelsburen Bacillus cereus-förgiftning,Foodborne Bacillus cereus intoxication,,,
1A1Y,Andra specificerade bakteriella matförgiftningar,Other specified bacterial foodborne intoxications,,,
1A1Z,"Bakteriella matförgiftningar, ospecificerade","Bacterial foodborne intoxications, unspecified",,,
1A20,Enterit orsakad av adenovirus,Enteritis due to Adenovirus,,,
1A21,Gastroenterit orsakad av astrovirus,Gastroenteritis due to Astrovirus,,,
1A22,Gastroenterit orsakad av rotavirus,Gastroenteritis due to Rotavirus,,,
1A23,Enterit orsakad av norovirus,Enteritis due to Norovirus,,,
1A24,Tarminfektioner orsakade av cytomegalovirus,Intestinal infections due to Cytomegalovirus,,,
1A2Y,Andra specificerade tarminfektioner orsakade av virus,Other specified viral intestinal infections,,,
1A2Z,"Tarminfektioner orsakade av virus, ospecificerade","Viral intestinal infections, unspecified",,,
1A30,Infektioner orsakade av Balantidium coli,Infections due to Balantidium coli,,,
1A31,Giardiasis,Giardiasis,,,
1A32,Kryptosporidios,Cryptosporidiosis,,,
1A33,Tarminfektion orsakad av parasiten Cystoisospora belli,Cystoisosporiasis,,,
1A33.0,Parasitinfektion i tunntarm orsakad av parasiten Cystoisospora belli,Cystoisosporiasis of small intestine,,,
1A33.1,Parasitinfektion i tjocktarm orsakad av parasiten Cystoisospora belli,Cystoisosporiasis of colon,,,
1A33.Y,Annan specificerad tarminfektion orsakad av parasiten Cystoisospora belli,Other specified cystoisosporiasis,,,
1A33.Z,"Tarminfektion orsakad av parasiten Cystoisospora belli, ospecificerad","Cystoisosporiasis, unspecified",,,
1A34,Sarkocystos,Sarcocystosis,,,
1A35,Blastocystos,Blastocystosis,,,
1A36,Amöbainfektion,Amoebiasis,,,
1A36.0,Tarminfektioner orsakade av Entamoeba,Intestinal infections due to Entamoeba,,,
1A36.00,Akut amöbainfektion,Acute amoebiasis,,,
1A36.01,Amöbom i tarmen,Amoeboma of intestine,,,
1A36.0Y,Andra specificerade tarminfektioner orsakade av Entamoeba,Other specified intestinal infections due to Entamoeba,,,
1A36.0Z,"Tarminfektioner orsakade av Entamoeba, ospecificerade","Intestinal infections due to Entamoeba, unspecified",,,
1A36.1,Extraintestinala infektioner orsakade av Entamoeba,Extraintestinal infections due to Entamoeba,,,
1A36.10,Leverabscess orsakad av amöba,Amoebic liver abscess,,,
1A36.11,Lungabscess orsakad av amöba,Amoebic lung abscess,,,
1A36.12,Amöbainfektion i huden,Cutaneous amoebiasis,,,
1A36.1Y,Andra specificerade extraintestinala infektioner orsakade av Entamoeba,Amoebiasis of other specified sites,,,
1A36.Z,"Amöbainfektion, ospecificerad","Amoebiasis, unspecified",,,
1A3Y,Andra specificerade tarminfektioner orsakade av protozoer,Other specified protozoal intestinal infections,,,
1A3Z,"Tarminfektioner orsakade av protozoer, ospecificerade","Protozoal intestinal infections, unspecified",,,
1A40,Gastroenterit eller kolit utan specifikation av smittämne,Gastroenteritis or colitis without specification of infectious agent,,,
1A40.0,Gastroenterit eller kolit utan specificerad orsak,Gastroenteritis or colitis without specification of origin,,,
1A40.Z,"Gastroenterit eller kolit utan specifikation av smittämne, ospecificerad",Infectious gastroenteritis or colitis without specification of infectious agent,,,
1A60,Medfödd syfilis,Congenital syphilis,,,
1A60.0,"Tidig medfödd syfilis, symtomatisk","Early congenital syphilis, symptomatic",,,
1A60.1,"Tidig medfödd syfilis, latent","Early congenital syphilis, latent",,,
1A60.2,Tidig medfödd syfilitisk okulopati,Late congenital syphilitic oculopathy,,,
1A60.3,Sen medfödd neurosyfilis,Late congenital neurosyphilis,,,
1A60.4,"Annan sen medfödd syfilis, symtomatisk","Other late congenital syphilis, symptomatic",,,
1A60.5,"Sen medfödd syfilis, latent","Late congenital syphilis, latent",,,
1A60.Z,"Medfödd syfilis, ospecificerad","Congenital syphilis, unspecified",,,
1A61,Tidig syfilis,Early syphilis,,,
1A61.0,Primär medfödd syfilis,Primary genital syphilis,,,
1A61.1,Primär anal syfilis,Primary anal syphilis,,,
1A61.2,Primär syfilis på andra lokalisationer,Primary syphilis of other sites,,,
1A61.3,Sekundär syfilis i hud eller slemhinnor,Secondary syphilis of skin or mucous membranes,,,
1A61.4,Sekundär syfilis på andra ställen,Secondary syphilis of other sites,,,
1A61.5,Latent tidig syfilis,Latent early syphilis,,,
1A61.Y,Annan specificerad tidig syfilis,Other specified early syphilis,,,
1A61.Z,"Tidig syfilis, ospecificerad","Early syphilis, unspecified",,,
1A62,Sen syfilis,Late syphilis,,,
1A62.0,Neurosyfilis,Neurosyphilis,,,
1A62.00,Asymtomatisk neurosyfilis,Asymptomatic neurosyphilis,,,
1A62.01,Symtomatisk sen neurosyfilis,Symptomatic late neurosyphilis,,,
1A62.0Z,"Neurosyfilis, ospecificerade","Neurosyphilis, unspecified",,,
1A62.1,Kardiovaskulär sen syfilis,Cardiovascular late syphilis,,,
1A62.2,Symtomatisk sen syfilis i andra organ,Symptomatic late syphilis of other sites,,,
